Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-2.7027;112;1.5553;392
3;visual;-0.050914;96;4.7112;348
6;visual;-4.2498;84;3.7509;460
7;visual;-4.1124;160;7.0285;400
8;visual;-2.5213;160;5.9245;384
11;visual;-5.693;100;6.5198;500
12;visual;-4.7749;160;8.7983;408
13;visual;-1.6541;80;5.9583;452
14;visual;-2.4058;96;3.4838;292
15;visual;-2.2659;80;-1.1508;348
16;visual;-2.6054;80;8.2304;368
2;vibro;-5.2559;140;1.5163;328
3;vibro;-4.1422;160;4.8846;368
6;vibro;-3.0937;160;8.4516;340
7;vibro;-5.994;160;6.092;364
8;vibro;-4.6679;148;4.2641;500
11;vibro;-0.030516;160;12.7482;340
12;vibro;-5.2006;160;5.3057;364
13;vibro;-2.0189;160;9.6822;436
14;vibro;-1.8811;160;1.1847;104
15;vibro;-2.6013;160;-0.43829;300
16;vibro;-4.6623;80;4.9257;300
2;ems;-4.015;124;2.9181;324
3;ems;-5.7228;140;5.8481;416
6;ems;-1.0377;160;9.8023;388
7;ems;-8.6479;160;6.1815;308
8;ems;-5.509;160;5.0735;244
11;ems;-10.1683;160;4.5621;488
12;ems;-6.1359;160;5.1193;360
13;ems;-2.4297;132;5.4361;384
14;ems;-9.329;160;0.81519;500
15;ems;-4.9414;160;0.93609;100
16;ems;-6.5179;132;2.1296;304
